iter	Passed	Remaining
438	1373	1755
439	1376	1752
440	1380	1749
441	1383	1746
442	1386	1743
443	1389	1740
444	1392	1736
445	1395	1733
446	1398	1730
447	1401	1726
448	1406	1725
449	1409	1722
450	1412	1719
451	1415	1715
452	1418	1712
453	1422	1710
454	1425	1706
455	1427	1703
456	1430	1699
457	1433	1696
458	1436	1693
459	1439	1690
460	1443	1687
461	1446	1684
462	1448	1680
463	1452	1678
464	1456	1675
465	1459	1672
466	1462	1669
467	1465	1666
468	1469	1663
469	1472	1660
470	1475	1657
471	1478	1653
472	1481	1650
473	1485	1648
474	1488	1644
475	1491	1641
476	1494	1638
477	1497	1635
478	1500	1632
479	1504	1629
480	1507	1626
481	1510	1623
482	1513	1620
483	1517	1617
484	1520	1614
485	1524	1612
486	1527	1608
487	1530	1605
488	1533	1602
489	1536	1599
490	1540	1596
491	1543	1594
492	1546	1590
493	1549	1587
494	1552	1584
495	1556	1581
496	1559	1578
497	1563	1575
498	1566	1572
499	1569	1569
500	1572	1566
501	1576	1563
502	1579	1560
503	1582	1557
504	1585	1553
505	1588	1550
506	1591	1547
507	1594	1544
508	1597	1541
509	1601	1538
510	1604	1535
511	1607	1532
512	1610	1529
513	1614	1526
514	1617	1522
515	1620	1520
516	1623	1516
517	1626	1513
518	1629	1510
519	1633	1507
520	1636	1504
521	1639	1501
522	1642	1498
523	1646	1495
524	1649	1492
525	1652	1489
526	1656	1486
527	1659	1483
528	1663	1481
529	1666	1477
530	1669	1474
531	1673	1471
532	1676	1468
533	1679	1465
534	1682	1462
535	1686	1459
536	1689	1456
537	1692	1453
538	1695	1450
539	1699	1447
540	1702	1444
541	1705	1441
542	1709	1438
543	1712	1435
544	1715	1432
545	1718	1429
546	1722	1426
547	1726	1424
548	1729	1421
549	1733	1417
550	1736	1415
551	1739	1411
552	1742	1408
553	1745	1405
554	1749	1402
555	1752	1399
556	1756	1396
557	1759	1393
558	1762	1390
559	1765	1387
560	1769	1384
561	1772	1381
562	1776	1378
563	1779	1375
