iter	Logloss
0	0.6834286845
1	0.6727654046
2	0.6625303641
3	0.6518178942
4	0.6406943505
5	0.631490818
6	0.6227937806
7	0.6136952092
8	0.6051969061
9	0.5995656625
10	0.5938411235
11	0.5874480144
12	0.582322359
13	0.5778545618
14	0.5709048977
15	0.5656959116
16	0.5612435732
17	0.5579688306
18	0.5540243136
19	0.5512313214
20	0.5478124237
21	0.545032213
22	0.5402117396
23	0.5371067783
24	0.5330350943
25	0.529413664
26	0.5262605698
27	0.5234918819
28	0.521113177
29	0.5182267292
30	0.5156301765
31	0.512784235
32	0.510537208
33	0.5083811579
34	0.5058723912
35	0.5040733411
36	0.5009772519
37	0.498829611
38	0.4972031962
39	0.4958140651
40	0.4941716699
41	0.4924635145
42	0.4906291765
43	0.4887789956
44	0.4868547017
45	0.4853151097
46	0.4836925226
47	0.48218543
48	0.481476286
49	0.4801795544
50	0.4781756319
51	0.4769789729
52	0.4755415763
53	0.4739249114
54	0.4728616269
55	0.4718339059
56	0.470953752
57	0.4699588342
58	0.4676073642
59	0.4664617754
60	0.4655067149
61	0.4644228947
62	0.4633563627
63	0.4622260203
64	0.4612336223
65	0.460363477
66	0.458970988
67	0.4578356067
68	0.4570033892
69	0.4560671613
70	0.4551835171
71	0.4545842358
72	0.4539386869
73	0.4533169825
74	0.4518869217
75	0.4512296205
76	0.4503655031
77	0.4495165691
78	0.4487282632
79	0.4480816356
80	0.4472883064
81	0.4464164874
82	0.445731044
83	0.4448592819
84	0.4440642143
85	0.4435945469
86	0.4429447303
87	0.4424907004
88	0.4420765773
89	0.4415814017
90	0.4408850917
91	0.4400545487
92	0.439546298
93	0.4390362519
94	0.4385674149
95	0.4379049151
96	0.4371221854
97	0.4364878569
98	0.4360730015
99	0.4353270404
100	0.4348566094
101	0.4340888379
102	0.4336954754
103	0.433227207
104	0.4328090074
105	0.4322326961
106	0.4317478147
107	0.4313181192
108	0.4308002318
109	0.4302649076
110	0.4298317346
111	0.4294082738
112	0.4285422674
113	0.42820027
114	0.4278729666
115	0.4274951757
116	0.4269702097
117	0.4265691263
118	0.4261497119
119	0.4258205651
120	0.4256237367
121	0.4251054774
122	0.4247625663
123	0.4244040076
124	0.4240206561
125	0.4236286824
126	0.4232490456
127	0.422920941
128	0.4225877202
129	0.4223963456
130	0.4220386307
131	0.4215523263
132	0.4212626671
133	0.4210087579
134	0.4205935483
135	0.4203945223
136	0.4201747412
137	0.4198100711
138	0.4194222665
139	0.4191036612
140	0.4188737032
141	0.4183717676
142	0.4180770002
143	0.4178570208
144	0.4174877961
145	0.4171699528
146	0.4168304897
147	0.416468578
148	0.4160760266
149	0.415870335
150	0.4154189741
151	0.4150477702
152	0.414613934
153	0.4143034878
154	0.413963072
155	0.4137212511
156	0.4134783965
157	0.4132629853
158	0.4130186304
159	0.412627461
160	0.4122957945
161	0.4119893264
162	0.4118057621
163	0.4116417714
164	0.4112047004
165	0.4109297765
166	0.4103908773
167	0.4101368517
168	0.4099509163
169	0.4096868975
170	0.4094516009
171	0.409273434
172	0.4089436475
173	0.408606723
174	0.4083422377
175	0.4081147606
176	0.4077887296
177	0.4076042457
178	0.4073570978
179	0.40709876
180	0.4067935627
181	0.4065468546
182	0.4063527466
183	0.4060849579
184	0.4057349369
185	0.4054334459
186	0.4051256666
187	0.4047980163
188	0.4045176364
189	0.4042754422
190	0.4040628006
191	0.403783386
192	0.4031372793
193	0.4028463039
194	0.4026616877
195	0.4023145641
196	0.4021196259
197	0.4016415044
198	0.4012658314
199	0.400973193
200	0.4006732357
201	0.4004602964
202	0.4000750574
203	0.4000369032
204	0.3997818862
205	0.3995541651
206	0.3994059979
207	0.3992492738
208	0.3989203767
209	0.3987453648
210	0.3985530066
211	0.3983411158
212	0.3981615898
213	0.397998514
214	0.397738077
215	0.3975239905
216	0.3972627605
217	0.3969933733
218	0.3967358983
219	0.3964546187
220	0.396247237
221	0.3960334762
222	0.3958123702
223	0.3955606669
224	0.3953567915
225	0.3949869136
226	0.394668714
227	0.3943959925
228	0.3940626919
229	0.393872712
230	0.3936691605
231	0.3934181889
232	0.3932322007
233	0.3929934384
234	0.3928209344
235	0.3926424764
236	0.3925430576
237	0.392192344
238	0.3919547944
239	0.3917076947
240	0.3914984825
241	0.391273802
242	0.3911108309
243	0.3905391935
244	0.3903910096
245	0.3900979342
246	0.3898254386
247	0.3895792862
248	0.3893737091
249	0.3891091343
250	0.3888079324
251	0.388660304
252	0.3883564646
253	0.3881539556
254	0.3879480392
255	0.3876745024
256	0.387465561
257	0.3873085969
258	0.3869944475
259	0.3868403191
260	0.386558684
261	0.3863340513
262	0.3861819789
263	0.3859129371
264	0.3856940716
265	0.3855818091
266	0.385242413
267	0.3849464381
268	0.3847162357
269	0.3845801284
270	0.3844452217
271	0.3842457815
272	0.3840678914
273	0.3838120791
274	0.383474513
275	0.3830908467
276	0.3827952376
277	0.3826057564
278	0.3824745052
279	0.3822851212
280	0.382089261
281	0.3819543778
282	0.3817742922
283	0.3815770631
284	0.3814210804
285	0.381216741
286	0.3809856894
287	0.380764174
288	0.3805568407
289	0.3802901415
290	0.3801127211
291	0.3799892879
292	0.3797882868
293	0.3795221163
294	0.3792627778
295	0.3789736281
296	0.3787538994
297	0.3785708765
298	0.3783438175
299	0.3782069263
300	0.3779310617
301	0.377603376
302	0.3773968113
303	0.3771508113
304	0.3770061911
305	0.3767138984
306	0.3764452719
307	0.3762364298
308	0.3760744618
309	0.3757929534
310	0.3756321485
311	0.3753137723
312	0.3750190184
313	0.3748789464
314	0.374675511
315	0.374533476
316	0.3742845208
317	0.3741462503
318	0.3739058265
319	0.3735126167
320	0.373329739
321	0.373210047
322	0.3730176489
323	0.3728253146
324	0.3726588189
325	0.3724901025
326	0.3722164425
327	0.3719936985
328	0.3717352408
329	0.3714177144
330	0.371278274
331	0.371138723
332	0.3709316594
333	0.3707248086
334	0.3702513256
335	0.3700121133
336	0.3698078596
337	0.3696908866
338	0.3695074108
339	0.3693388497
340	0.3691634949
341	0.3689406324
342	0.3685447432
343	0.368381006
344	0.3682649244
345	0.3680710136
346	0.3678287137
347	0.3675207029
348	0.3673135864
